email,restaurant_id,number_of_guests,booking_date,booking_time,special_requests,booking_status,created,table_number
jperez50@example.com,2,6,12/29/2025,19:30:00,Family dinner,CONFIRMED,12/27/2025 12:00,10
emartin36@example.com,2,2,12/23/2025,19:00:00,,CONFIRMED,12/21/2025 11:11,2
jlee14@example.com,1,4,12/18/2025,18:30:00,Work group,CONFIRMED,12/16/2025 13:20,8
rwilson15@example.com,1,3,12/12/2025,19:00:00,,CONFIRMED,12/10/2025 9:45,4
myoung35@example.com,3,3,12/8/2025,19:00:00,Near center if possible,PENDING,12/1/2025 10:05,4
hbrown22@example.com,1,5,12/7/2025,19:30:00,,CONFIRMED,12/5/2025 11:15,6
lking34@example.com,1,2,12/7/2025,18:30:00,None,CONFIRMED,12/1/2025 9:15,1
ldavis28@example.com,2,4,12/6/2025,19:00:00,None,CONFIRMED,11/29/2025 12:35,5
jperez50@example.com,3,2,12/5/2025,18:00:00,None,CONFIRMED,11/29/2025 11:20,2
jnelson04@example.com,2,3,12/4/2025,19:30:00,None,PENDING,11/28/2025 9:50,7
jperez50@example.com,2,2,12/3/2025,18:00:00,,CONFIRMED,12/1/2025 10:05,2
jlee14@example.com,1,2,12/3/2025,18:30:00,None,CONFIRMED,11/27/2025 13:40,3
jdavis01@example.com,1,4,12/2/2025,19:00:00,None,CONFIRMED,11/27/2025 11:25,6
emartin36@example.com,3,4,11/30/2025,19:30:00,,CONFIRMED,11/28/2025 9:55,8
hbrown22@example.com,1,2,11/30/2025,18:00:00,None,CONFIRMED,11/25/2025 10:55,1
zmoore08@example.com,1,5,11/29/2025,19:30:00,Allergy: shellfish,CONFIRMED,11/24/2025 14:10,9
swhite07@example.com,1,4,11/28/2025,19:00:00,None,CONFIRMED,11/23/2025 12:15,5
zadams44@example.com,2,2,11/28/2025,20:00:00,None,CANCELLED,11/24/2025 9:45,2
jlee14@example.com,3,2,11/27/2025,18:00:00,Pre-theatre,CONFIRMED,11/25/2025 10:40,4
srobinson29@example.com,2,2,11/27/2025,18:30:00,Pre-holiday dinner,CONFIRMED,11/22/2025 10:05,3
rwilson15@example.com,3,6,11/24/2025,20:00:00,,CONFIRMED,11/22/2025 12:30,10
rwilson15@example.com,3,6,11/22/2025,19:00:00,Family gathering,CONFIRMED,11/18/2025 15:20,11
srobinson06@example.com,3,3,11/22/2025,20:00:00,None,CONFIRMED,11/19/2025 9:30,8
hbrown22@example.com,2,3,11/21/2025,19:00:00,,CONFIRMED,11/19/2025 11:22,6
pthomas18@example.com,1,4,11/20/2025,19:30:00,Booth if available,CONFIRMED,11/17/2025 13:40,4
qgreen31@example.com,2,2,11/20/2025,18:30:00,None,CONFIRMED,11/18/2025 11:15,2
pallen21@example.com,3,2,11/20/2025,18:00:00,None,CONFIRMED,11/17/2025 13:05,1
abaker23@example.com,1,2,11/19/2025,21:00:00,Birthday,SEATED,7/24/2025 12:56,5
jperez50@example.com,2,5,11/19/2025,19:30:00,Gluten free,CONFIRMED,11/16/2025 9:10,8
tdayguest01@example.com,3,2,11/19/2025,18:00:00,Window seat if possible,CONFIRMED,11/15/2025 12:10,2
tdayguest02@example.com,3,4,11/17/2025,19:30:00,Birthday dessert,CONFIRMED,11/15/2025 13:05,6
tdayguest03@example.com,2,3,11/17/2025,20:00:00,High chair needed,PENDING,11/16/2025 10:20,4
emartin36@example.com,3,2,11/16/2025,18:00:00,,CONFIRMED,11/14/2025 10:15,2
nyoung38@example.com,2,4,11/15/2025,19:00:00,Allergy: gluten free,PENDING,11/11/2025 9:50,6
omoore11@example.com,1,3,11/15/2025,20:00:00,None,CONFIRMED,11/11/2025 10:35,7
nthomas10@example.com,3,2,11/14/2025,18:00:00,None,CONFIRMED,11/10/2025 14:25,2
lroberts13@example.com,1,5,11/13/2025,19:30:00,Birthday cake,CONFIRMED,11/9/2025 11:40,9
lking34@example.com,3,2,11/12/2025,18:30:00,None,CONFIRMED,11/9/2025 10:05,3
jlee14@example.com,2,4,11/11/2025,18:30:00,,CONFIRMED,11/9/2025 12:03,6
rwilson15@example.com,1,3,11/9/2025,19:30:00,,CONFIRMED,11/7/2025 15:12,4
ldavis28@example.com,1,4,11/9/2025,19:00:00,Near window if possible,CONFIRMED,11/6/2025 9:30,5
jnelson04@example.com,1,6,11/8/2025,20:00:00,Large party celebration,CONFIRMED,11/5/2025 12:48,10
jperez50@example.com,2,2,11/8/2025,18:00:00,None,CONFIRMED,11/5/2025 13:10,1
hbrown22@example.com,1,6,11/7/2025,20:00:00,Anniversary,CONFIRMED,11/5/2025 13:37,10
hbrown22@example.com,2,3,11/7/2025,19:30:00,Booth preferred,PENDING,11/4/2025 15:05,7
zmoore08@example.com,3,2,11/6/2025,18:30:00,None,CONFIRMED,11/3/2025 11:22,2
jperez50@example.com,1,2,11/5/2025,18:00:00,,CONFIRMED,11/3/2025 9:45,2
zadams44@example.com,2,4,11/5/2025,19:00:00,Anniversary,CONFIRMED,11/2/2025 16:40,6
emartin36@example.com,2,5,11/4/2025,19:00:00,Birthday,CONFIRMED,11/2/2025 10:10,8
jlee14@example.com,1,3,11/3/2025,18:30:00,Window seat,CONFIRMED,11/1/2025 11:23,6
swhite07@example.com,3,2,11/3/2025,18:00:00,None,CONFIRMED,11/1/2025 9:15,4
rwilson15@example.com,2,2,11/2/2025,19:30:00,,SEATED,10/31/2025 16:05,4
