email,role_name
hrodriguez02@example.com,MANAGER
lmitchell03@example.com,MANAGER
tmitchell01@example.com,MANAGER
aramirez01@example.com,HOST
cadams04@example.com,HOST
djohnson03@example.com,HOST
dtaylor10@example.com,HOST
hperez08@example.com,HOST
ianderson05@example.com,HOST
lmoore07@example.com,HOST
mwilson02@example.com,HOST
omiller09@example.com,HOST
ssmith06@example.com,HOST
ahill41@example.com,CUSTOMER
alewis45@example.com,CUSTOMER
asanchez20@example.com,CUSTOMER
ascott47@example.com,CUSTOMER
banderson12@example.com,CUSTOMER
bjackson02@example.com,CUSTOMER
bsmith26@example.com,CUSTOMER
crivera43@example.com,CUSTOMER
dadams16@example.com,CUSTOMER
dgreen09@example.com,CUSTOMER
djones24@example.com,CUSTOMER
drobinson25@example.com,CUSTOMER
ebrown49@example.com,CUSTOMER
ecarter30@example.com,CUSTOMER
ecarter33@example.com,CUSTOMER
ehernandez23@example.com,CUSTOMER
ehill32@example.com,CUSTOMER
emartin36@example.com,CUSTOMER
escott40@example.com,CUSTOMER
etorres03@example.com,CUSTOMER
grobinson17@example.com,CUSTOMER
hbrown22@example.com,CUSTOMER
hjones46@example.com,CUSTOMER
hsmith48@example.com,CUSTOMER
jcarter42@example.com,CUSTOMER
jdavis01@example.com,CUSTOMER
jlee14@example.com,CUSTOMER
jnelson04@example.com,CUSTOMER
jperez50@example.com,CUSTOMER
jtaylor19@example.com,CUSTOMER
ldavis28@example.com,CUSTOMER
lking34@example.com,CUSTOMER
lroberts13@example.com,CUSTOMER
lrodriguez39@example.com,CUSTOMER
ltorres37@example.com,CUSTOMER
lwright27@example.com,CUSTOMER
manderson05@example.com,CUSTOMER
myoung35@example.com,CUSTOMER
nthomas10@example.com,CUSTOMER
nyoung38@example.com,CUSTOMER
omoore11@example.com,CUSTOMER
pallen21@example.com,CUSTOMER
pthomas18@example.com,CUSTOMER
qgreen31@example.com,CUSTOMER
rwilson15@example.com,CUSTOMER
srobinson06@example.com,CUSTOMER
srobinson29@example.com,CUSTOMER
swhite07@example.com,CUSTOMER
zadams44@example.com,CUSTOMER
zmoore08@example.com,CUSTOMER
