email,customer_name,customer_phone_number,party_size,queue_position,status,estimated_wait_time,arrived_at,seated_at,host_email,special_requests,created
hbaker24@example.com,,,3,,WAITING,48 min,2024-11-04 13:45:00,,jgonzalez05@example.com,Quiet,2024-11-04 13:45:00
srobinson27@example.com,,,2,,SEATED,20 min,2025-04-06 18:45:00,2025-04-06 19:00:00,athompson04@example.com,Booth,2025-04-06 18:45:00
lhill19@example.com,,,2,,CANCELLED,60 min,2025-02-11 11:30:00,,jgonzalez05@example.com,,2025-02-11 11:30:00
bcampbell17@example.com,,,6,,WAITING,39 min,2024-09-20 18:45:00,,jgonzalez05@example.com,Booth,2024-09-20 18:45:00
nflores22@example.com,,,4,,CANCELLED,17 min,2025-08-12 12:30:00,,mjohnson02@example.com,Booth,2025-08-12 12:30:00
lhill19@example.com,,,5,,WAITING,19 min,2025-09-20 19:45:00,,athompson04@example.com,Booth,2025-09-20 19:45:00
cbaker14@example.com,,,4,,SEATED,32 min,2025-04-11 22:00:00,2025-04-11 22:48:00,lgonzalez03@example.com,Quiet,2025-04-11 22:00:00
rhall29@example.com,,,5,,WAITING,55 min,2025-08-19 12:00:00,,jgonzalez05@example.com,Allergy,2025-08-19 12:00:00
nflores36@example.com,,,5,,WAITING,43 min,2024-06-06 19:30:00,,jgonzalez05@example.com,Quiet,2024-06-06 19:30:00
emartinez13@example.com,,,5,,SEATED,25 min,2025-10-05 22:30:00,2025-10-05 23:49:00,jgonzalez05@example.com,Booth,2025-10-05 22:30:00
aperez33@example.com,,,4,,SEATED,22 min,2025-10-30 11:15:00,2025-10-30 11:45:00,lgonzalez03@example.com,Booth,2025-10-30 11:15:00
rhall29@example.com,,,4,,WAITING,14 min,2025-09-09 18:00:00,,lgonzalez03@example.com,,2025-09-09 18:00:00
sgreen49@example.com,,,2,,WAITING,34 min,2024-11-18 13:30:00,,athompson04@example.com,Quiet,2024-11-18 13:30:00
lhill19@example.com,,,5,,WAITING,41 min,2024-11-04 15:15:00,,mjohnson02@example.com,Booth,2024-11-04 15:15:00
abaker23@example.com,,,3,,SEATED,19 min,2024-08-19 12:15:00,2024-08-19 12:57:00,lgonzalez03@example.com,Booth,2024-08-19 12:15:00
cbaker14@example.com,,,2,,CANCELLED,49 min,2025-09-07 12:45:00,,lgonzalez03@example.com,Quiet,2025-09-07 12:45:00
tcarter28@example.com,,,4,,SEATED,18 min,2025-05-31 21:15:00,2025-05-31 21:42:00,jgonzalez05@example.com,,2025-05-31 21:15:00
,,,3,,CANCELLED,16 min,2024-05-13 16:45:00,,lgonzalez03@example.com,,2024-05-13 16:45:00
ljackson26@example.com,,,5,,NOTIFIED,24 min,2025-01-18 20:00:00,,lgonzalez03@example.com,,2025-01-18 20:00:00
egreen21@example.com,,,2,,SEATED,50 min,2025-09-25 10:00:00,2025-09-25 10:26:00,jgonzalez05@example.com,,2025-09-25 10:00:00
edavis46@example.com,,,2,,SEATED,39 min,2025-05-10 21:30:00,2025-05-10 22:58:00,lwilson01@example.com,Allergy,2025-05-10 21:30:00
awalker16@example.com,,,5,,SEATED,39 min,2024-05-19 22:45:00,2024-05-19 23:39:00,lgonzalez03@example.com,Allergy,2024-05-19 22:45:00
bcampbell17@example.com,,,6,,NOTIFIED,46 min,2024-10-08 16:45:00,,lgonzalez03@example.com,Allergy,2024-10-08 16:45:00
lhill39@example.com,,,4,,WAITING,15 min,2025-04-09 21:45:00,,mjohnson02@example.com,Quiet,2025-04-09 21:45:00
cbaker14@example.com,,,3,,CANCELLED,55 min,2025-09-10 15:45:00,,lgonzalez03@example.com,Booth,2025-09-10 15:45:00
twilson48@example.com,,,2,,NOTIFIED,25 min,2025-03-27 08:15:00,,lwilson01@example.com,Quiet,2025-03-27 08:15:00
abaker43@example.com,,,3,,SEATED,56 min,2024-05-23 18:45:00,2024-05-23 18:56:00,jgonzalez05@example.com,,2024-05-23 18:45:00
rflores40@example.com,,,6,,WAITING,41 min,2025-09-12 22:30:00,,lgonzalez03@example.com,Quiet,2025-09-12 22:30:00
lhill19@example.com,,,5,,NOTIFIED,58 min,2025-09-02 17:00:00,,lwilson01@example.com,Allergy,2025-09-02 17:00:00
emartinez13@example.com,,,3,,CANCELLED,29 min,2025-03-14 16:15:00,,lwilson01@example.com,Quiet,2025-03-14 16:15:00
hthompson15@example.com,,,5,,SEATED,40 min,2024-12-29 08:00:00,2024-12-29 08:55:00,mjohnson02@example.com,,2024-12-29 08:00:00
asmith50@example.com,,,3,,SEATED,23 min,2025-06-18 10:30:00,2025-06-18 11:24:00,athompson04@example.com,,2025-06-18 10:30:00
ssanchez30@example.com,,,5,,SEATED,47 min,2024-06-05 14:15:00,2024-06-05 15:23:00,athompson04@example.com,,2024-06-05 14:15:00
zramirez38@example.com,,,5,,WAITING,20 min,2024-11-27 08:30:00,,jgonzalez05@example.com,,2024-11-27 08:30:00
nflores36@example.com,,,3,,NOTIFIED,25 min,2024-12-27 18:00:00,,athompson04@example.com,Booth,2024-12-27 18:00:00
,,,5,,SEATED,13 min,2025-08-10 16:00:00,2025-08-10 16:59:00,jgonzalez05@example.com,Quiet,2025-08-10 16:00:00
lwalker41@example.com,,,6,,WAITING,48 min,2024-06-02 17:30:00,,lgonzalez03@example.com,Quiet,2024-06-02 17:30:00
sgreen49@example.com,,,6,,WAITING,60 min,2024-12-01 18:30:00,,athompson04@example.com,,2024-12-01 18:30:00
dcarter12@example.com,,,4,,SEATED,49 min,2024-07-22 22:30:00,2024-07-22 23:01:00,jgonzalez05@example.com,Booth,2024-07-22 22:30:00
zramirez38@example.com,,,2,,NOTIFIED,30 min,2024-06-07 09:45:00,,athompson04@example.com,Allergy,2024-06-07 09:45:00
bcampbell17@example.com,,,4,,WAITING,36 min,2024-08-01 22:00:00,,athompson04@example.com,Quiet,2024-08-01 22:00:00
zramirez38@example.com,,,2,,WAITING,57 min,2024-08-09 17:00:00,,lgonzalez03@example.com,,2024-08-09 17:00:00
nflores22@example.com,,,2,,WAITING,37 min,2024-05-26 22:30:00,,athompson04@example.com,Quiet,2024-05-26 22:30:00
ebrown25@example.com,,,3,,NOTIFIED,38 min,2024-10-16 21:45:00,,lgonzalez03@example.com,Allergy,2024-10-16 21:45:00
anelson37@example.com,,,5,,CANCELLED,32 min,2024-12-29 10:30:00,,jgonzalez05@example.com,Allergy,2024-12-29 10:30:00
awalker16@example.com,,,3,,WAITING,25 min,2025-01-12 10:00:00,,mjohnson02@example.com,Allergy,2025-01-12 10:00:00
,,,4,,CANCELLED,29 min,2025-01-17 17:15:00,,jgonzalez05@example.com,Booth,2025-01-17 17:15:00
hmitchell20@example.com,,,5,,SEATED,59 min,2025-08-27 13:45:00,2025-08-27 15:15:00,lwilson01@example.com,Booth,2025-08-27 13:45:00
ljackson26@example.com,,,5,,NOTIFIED,10 min,2024-07-05 08:00:00,,jgonzalez05@example.com,,2024-07-05 08:00:00
mclark18@example.com,,,5,,WAITING,55 min,2024-11-03 10:30:00,,jgonzalez05@example.com,Booth,2024-11-03 10:30:00
nflores36@example.com,,,2,,CANCELLED,31 min,2024-06-08 10:15:00,,mjohnson02@example.com,Booth,2024-06-08 10:15:00
jhall34@example.com,,,2,,SEATED,54 min,2024-09-05 16:15:00,2024-09-05 17:14:00,lwilson01@example.com,Allergy,2024-09-05 16:15:00
hthompson15@example.com,,,4,,SEATED,14 min,2024-12-09 10:30:00,2024-12-09 11:47:00,athompson04@example.com,,2024-12-09 10:30:00
lhill39@example.com,,,5,,WAITING,26 min,2024-07-04 15:30:00,,mjohnson02@example.com,Allergy,2024-07-04 15:30:00
emartinez13@example.com,,,6,,WAITING,16 min,2024-11-30 15:15:00,,lgonzalez03@example.com,Booth,2024-11-30 15:15:00
rhall29@example.com,,,3,,WAITING,52 min,2024-06-17 10:00:00,,lgonzalez03@example.com,Booth,2024-06-17 10:00:00
srobinson27@example.com,,,5,,WAITING,32 min,2024-06-28 13:15:00,,lgonzalez03@example.com,Booth,2024-06-28 13:15:00
nflores22@example.com,,,2,,WAITING,26 min,2025-09-08 09:45:00,,mjohnson02@example.com,Booth,2025-09-08 09:45:00
lhill19@example.com,,,4,,WAITING,40 min,2025-08-09 09:15:00,,jgonzalez05@example.com,Allergy,2025-08-09 09:15:00
emartinez13@example.com,,,5,,WAITING,35 min,2025-02-21 16:45:00,,mjohnson02@example.com,Quiet,2025-02-21 16:45:00
jhall34@example.com,,,4,,WAITING,48 min,2025-10-01 17:15:00,,lgonzalez03@example.com,,2025-10-01 17:15:00
ljackson26@example.com,,,4,,WAITING,24 min,2025-02-16 08:45:00,,lwilson01@example.com,,2025-02-16 08:45:00
egreen21@example.com,,,6,,WAITING,57 min,2024-12-17 19:30:00,,lwilson01@example.com,Booth,2024-12-17 19:30:00
lhill39@example.com,,,6,,NOTIFIED,23 min,2025-02-05 09:30:00,,lwilson01@example.com,Booth,2025-02-05 09:30:00
abaker23@example.com,,,5,,SEATED,47 min,2025-05-05 20:45:00,2025-05-05 22:10:00,mjohnson02@example.com,Allergy,2025-05-05 20:45:00
ssanchez30@example.com,,,5,,WAITING,48 min,2024-09-05 18:45:00,,jgonzalez05@example.com,Allergy,2024-09-05 18:45:00
abaker23@example.com,,,6,,SEATED,59 min,2025-01-05 08:15:00,2025-01-05 09:27:00,jgonzalez05@example.com,Allergy,2025-01-05 08:15:00
bcampbell17@example.com,,,3,,WAITING,34 min,2025-07-27 19:30:00,,jgonzalez05@example.com,Booth,2025-07-27 19:30:00
egreen21@example.com,,,4,,WAITING,43 min,2025-06-12 20:15:00,,athompson04@example.com,Booth,2025-06-12 20:15:00
ssmith47@example.com,,,2,,WAITING,30 min,2025-06-06 22:45:00,,athompson04@example.com,,2025-06-06 22:45:00
abaker23@example.com,,,3,,NOTIFIED,59 min,2025-04-28 08:45:00,,mjohnson02@example.com,Quiet,2025-04-28 08:45:00
cbaker14@example.com,,,3,,CANCELLED,18 min,2024-10-06 18:15:00,,athompson04@example.com,,2024-10-06 18:15:00
srobinson27@example.com,,,2,,WAITING,29 min,2024-07-03 15:45:00,,jgonzalez05@example.com,Quiet,2024-07-03 15:45:00
ljackson26@example.com,,,3,,WAITING,54 min,2025-04-12 11:30:00,,lgonzalez03@example.com,Quiet,2025-04-12 11:30:00
edavis46@example.com,,,2,,CANCELLED,41 min,2024-08-21 11:15:00,,jgonzalez05@example.com,Allergy,2024-08-21 11:15:00
mclark18@example.com,,,3,,SEATED,34 min,2024-10-26 17:15:00,2024-10-26 18:10:00,athompson04@example.com,Booth,2024-10-26 17:15:00
asmith50@example.com,,,3,,SEATED,12 min,2025-10-23 17:30:00,2025-10-23 18:30:00,jgonzalez05@example.com,Booth,2025-10-23 17:30:00
zramirez38@example.com,,,3,,WAITING,27 min,2024-12-23 13:30:00,,athompson04@example.com,Quiet,2024-12-23 13:30:00
sgreen49@example.com,,,2,,WAITING,28 min,2025-01-12 11:30:00,,mjohnson02@example.com,Allergy,2025-01-12 11:30:00
hmitchell20@example.com,,,5,,SEATED,42 min,2024-06-24 18:00:00,2024-06-24 18:49:00,mjohnson02@example.com,,2024-06-24 18:00:00
,,,3,,WAITING,38 min,2025-05-21 20:45:00,,athompson04@example.com,Quiet,2025-05-21 20:45:00
sgreen49@example.com,,,6,,WAITING,28 min,2025-04-08 10:15:00,,lwilson01@example.com,Quiet,2025-04-08 10:15:00
